size,seed,urea,phosphate,pesticide,pseed,purea,pphosph,hiredlabor,famlabor,totlabor,wage,goutput,noutput,price
1.356,75,150,0,0,80,75,75,287,426,713,40.14,4800,4000,55
0.638,25,100,0,0,80,80,80,98,271,369,44.9,1440,1200,50
0.572,25,150,50,1500,55,75,70,224,110,334,37.95,975,825,60
0.285,25,1,0,0,60,75,75,1,185,185,42.5,600,500,50
1,70,250,50,1500,300,80,82,104,592,696,145,3600,3000,100
1,30,150,50,0,300,82,83,1,530,530,125.5,3800,3200,120
0.496,20,120,10,0,100,80,80,62,366,428,43.75,1500,1250,55
0.286,10,1,0,0,80,70,70,1,177,177,34.5,600,600,55
0.357,18,150,50,0,55,70,70,40,352,392,42.5,800,672,62
0.098,6,25,0,0,60,70,70,16,94,110,56.25,250,208,60
0.143,25,25,25,1500,130,85,85,80,82,162,135.63,700,600,100
0.143,10,25,25,1500,100,82,85,71,82,153,149.3,480,400,100
3.5,140,700,200,310,80,75,75,2849,1364,4213,36.3,15000,12500,60
1,30,200,0,2000,80,70,70,161,196,357,36.19,2400,2000,55
3.59,210,1000,100,3200,80,70,70,2374,1462,3836,36.78,12100,10200,70
0.84,30,200,25,0,70,70,70,155,193,348,48.71,3500,3000,60
3,160,900,100,4400,212.5,80,80,811,1526,2337,118.72,12000,10000,120
3,90,600,100,2600,120,82,85,1270,980,2250,150,9000,7700,140
0.28,12,60,10,200,80,80,80,287,10,297,44.64,1200,1000,55
0.28,8,25,0,0,80,80,80,120,12,132,43.33,360,300,55
0.2,12,80,20,0,55,70,70,46,85,131,38.59,420,350,55
0.28,8,75,0,0,120,70,70,101,29,130,44.65,420,350,60
0.2,16,75,25,1200,150,85,85,35,216,251,144.29,900,750,100
0.2,16,25,0,600,150,82,82,35,162,197,147.14,480,400,140
1,75,250,50,800,80,75,75,805,91,896,47.09,6000,5000,50
1,70,200,50,0,80,75,75,490,69,559,46.94,3600,3000,60
1,20,300,100,300,55,70,70,528,48,576,30.97,1200,1000,55
1,40,300,100,1800,175,70,70,309,68,377,52.72,3600,3000,65
1.571,50,500,100,8000,130,80,80,1094,130,1224,129.9,8400,7000,110
1.571,40,350,150,7500,150,85,85,555,45,600,138.74,6600,5500,140
0.286,10,50,10,0,80,80,80,257,35,292,49.03,1200,1000,55
0.286,10,25,0,0,80,80,80,189,18,207,36.51,1080,900,50
0.142,10,50,0,0,100,70,70,76,72,148,42.76,260,220,70
0.28,8,10,0,0,60,70,70,71,114,185,43.66,350,315,60
0.143,8,51,25,1800,350,80,90,56,68,124,136.61,640,550,100
0.143,5,25,25,1800,300,83,84,32,70,102,154.69,360,300,150
0.772,30,50,10,0,80,78,80,419,193,612,41.57,2040,1700,55
0.352,10,25,0,0,80,80,80,42,245,287,38.1,664,564,50
0.858,60,100,40,0,60,70,70,48,468,516,37.5,1420,1180,50
0.357,12,30,0,0,70,70,70,1,132,132,42.5,390,342,60
0.572,82,150,68,900,350,82,83,224,548,872,131.7,2400,2000,100
0.572,20,110,40,1000,300,82,83,96,300,396,127.08,1800,1500,130
0.11,3,40,0,0,125,60,60,30,76,106,47.5,420,370,55
0.11,3,40,0,0,125,75,75,35,42,77,38.57,300,260,50
0.214,5,50,10,0,55,75,75,80,36,116,38.75,300,250,55
0.143,5,25,0,0,80,70,70,30,213,243,40,280,250,55
0.071,7,50,20,2500,300,82,83,104,8,112,157.93,360,300,110
0.071,5,25,10,0,300,82,83,52,11,63,113.94,300,250,120
0.429,14,90,10,900,80,84,80,56,171,227,41.38,950,800,55
0.286,9,40,0,0,80,80,80,27,75,102,55.56,840,700,50
0.965,40,225,100,200,78.75,70,70,144,344,488,43.75,1350,1140,55
0.286,10,100,50,150,80,70,70,38,147,185,51.18,960,800,60
0.714,22,125,125,1800,190,80,80,387,300,687,126.1,3800,3300,100
0.964,28,200,200,2700,100,80,80,104,297,401,145.67,3240,2700,130
4.07,250,600,0,0,80,75,75,2044,1080,3124,39.49,10200,8500,55
0.143,3,25,0,0,80,80,80,25,94,119,48,600,500,55
3.643,200,400,0,0,80,70,70,2080,851,2931,54.09,4900,4120,70
0.286,10,75,0,0,90,70,70,132,58,190,52.27,840,700,60
0.286,25,100,50,0,350,83,84,108,52,160,147.69,1440,1200,100
0.286,12,70,45,0,300,83,84,119,32,151,126.89,960,800,140
1.143,40,1,0,0,80,80,80,216,726,942,35.78,3150,2900,50
0.143,2,1,0,0,100,70,70,14,81,95,57.14,225,205,50
0.5,20,1,0,0,70,70,70,1,448,448,42.35,900,755,50
0.143,10,25,0,0,80,70,70,16,229,245,37.5,270,230,60
0.714,84,150,50,3000,250,82,84,224,160,384,135.04,4800,4000,120
0.429,40,150,50,0,250,80,82,80,152,232,159.38,1680,1400,130
0.636,15,20,0,0,80,80,80,118,239,357,45.83,1205,1030,55
0.143,3,10,0,0,80,80,80,8,75,83,50,210,190,50
0.5,15,100,0,0,60,70,70,140,246,436,50,800,720,60
0.143,15,100,0,0,90,70,70,51,298,349,55.29,550,490,65
0.214,5,40,10,1500,120,83,85,32,88,120,121.88,980,840,120
0.214,4,25,5,0,120,82,85,1,80,80,120,360,300,140
0.286,8,100,12,200,80,80,80,84,114,198,38.72,1500,1250,55
0.286,9,10,0,0,80,70,70,70,86,156,35.71,480,400,55
0.286,10,100,25,200,70,70,70,25,199,224,50,540,460,55
0.286,12,50,10,0,60,70,70,45,261,306,53.33,960,800,60
0.786,30,300,100,10900,300,80,80,120,348,468,138.75,4440,3700,120
0.286,10,100,50,2000,300,82.5,84,48,104,152,131.25,840,700,125
1.28,58,220,75,0,100,75,75,450,249,699,44.25,4560,3800,55
1.28,30,100,0,0,100,75,75,236,166,402,39.83,2340,1950,55
0.714,15,250,50,0,55,70,70,464,88,552,39.66,1280,1080,55
0.71,20,150,50,0,70,70,70,324,104,428,42.28,1800,1500,65
0.714,60,300,50,1000,325,82,85,240,186,426,138.75,4200,3500,120
0.714,40,100,100,1500,300,85,85,352,164,516,135.06,2400,2000,100
0.064,7,20,0,0,70,80,80,8,79,87,40.5,240,200,55
0.064,6,10,0,0,70,80,80,8,49,57,50,216,180,50
0.28,18,60,0,0,80,70,70,81,169,250,45.06,400,350,70
0.128,9,50,25,0,80,70,70,10,108,118,55,450,410,60
0.057,13,50,50,1000,100,80,85,26,74,100,150.38,720,600,100
0.057,5,50,50,0,140,85,85,16,109,125,128.75,360,300,140
0.28,10,80,25,0,100,80,80,190,29,219,38.02,1200,1000,55
0.28,10,40,0,0,100,80,80,194,3,197,39.9,660,550,50
0.357,18,50,25,0,55,70,70,236,16,252,48.31,620,520,55
0.357,20,100,0,0,80,70,70,260,74,334,42.31,600,500,60
1.429,40,250,50,3000,350,82,82,884,98,982,149.04,3000,2500,100
1.429,20,150,50,0,300,85,85,820,50,870,129.69,4400,3600,150
0.07,3,20,0,0,80,80,80,1,90,90,50,260,260,50
0.07,3,10,0,0,80,80,80,1,46,46,39.43,120,120,50
0.142,6,30,0,0,80,70,70,1,126,126,42.35,375,300,55
0.071,5,7,3,0,80,70,70,1,97,97,52.5,130,130,60
0.357,25,75,25,0,250,82,84,1,384,384,122.33,1200,1000,120
0.357,6,25,3,0,250,85,85,1,224,224,120,960,800,150
0.14,6,25,5,250,80,80,80,85,85,170,39.08,350,315,64
0.14,6,25,5,250,80,80,80,85,85,170,40,372,335,70
0.15,5,25,5,70,65,70,70,160,16,176,37.5,280,250,65
0.15,6,25,10,300,100,70,70,105,52,157,45.24,380,350,65
0.429,19,150,50,300,160,85,85,385,156,541,142.86,1760,1600,160
0.429,19,150,50,500,190,85,85,425,156,581,146.35,1900,1728,190
0.18,5,20,20,0,90,50,70,85,21,106,44.16,370,333,55
0.18,5,20,20,0,90,70,70,99,21,120,34.34,205,188,70
0.08,4,15,0,0,75,75,70,70,16,86,50,276,236,65
0.086,5,15,5,0,80,70,70,43,48,91,51.86,135,125,80
0.074,1,5,5,0,100,85,85,8,32,40,135,82,82,160
0.014,1,5,5,0,100,85,85,1,17,17,140,42,42,190
0.185,7,15,0,0,100,70,70,66,24,90,59.12,419,384,50
0.175,65,15,0,0,100,70,70,66,24,90,51.21,349,320,78
0.12,3,20,5,0,65,65,65,80,36,116,45.63,425,385,75
0.08,3,20,0,0,100,70,70,119,63,182,52.86,350,300,65
0.179,5,40,0,0,160,85,85,30,102,132,126.67,352,320,160
0.179,5,40,0,0,190,85,85,30,96,126,140,493,448,190
0.571,18,200,25,0,60,80,80,295,140,435,45.19,2405,2188,64
0.571,18,200,25,0,60,75,75,327,320,647,57.37,2405,2188,70
0.57,25,150,25,750,70,65,70,1060,126,1186,47.74,1760,1600,70
0.7,25,150,55,0,100,70,70,420,144,564,52.38,1468,1336,65
1.663,44,670,270,0,200,80,80,951,394,1345,127.46,4506,4096,140
1.663,44,670,276,0,275,82,82,951,528,1479,123.88,4666,4256,140.23
0.5,8,100,20,0,50,70,70,208,98,306,53.75,1237,1125,50
0.5,8,100,20,0,50,70,70,138,169,307,43.48,1375,1250,60
0.575,12,165,60,0,65,70,70,395,148,543,53.42,1830,1662,70
0.375,10,75,25,0,100,70,70,245,151,396,54.9,600,530,65
0.42,14,100,50,0,321,82,82,254,348,602,126.77,1225,1114,160
0.42,18,100,50,0,275,85,85,254,441,695,126.77,1619,1472,168.48
0.36,10,75,25,0,100,76,80,108,158,266,55.45,1151,1056,63
0.36,10,75,25,0,150,80,80,108,158,266,56.67,1012,928,78
0.015,5,25,25,0,65,75,75,1,47,47,56.43,210,190,60
0.179,8,20,15,0,80,70,70,50,61,111,54,391,372,80
0.193,10,70,35,0,160,85,85,69,236,305,121.45,457,424,160
0.193,10,70,35,0,190,85,85,49,231,280,132.04,559,520,190
0.92,30,300,100,1000,90,72.5,72.5,587,55,642,58.41,1971,1792,80
0.92,30,300,100,1000,90,72.5,72.5,687,55,742,58.66,2288,2080,90
0.375,6,75,25,450,55,65,65,140,35,175,60,1060,960,65
0.535,7,70,30,500,120,70,70,293,90,383,44.71,1200,1080,65
0.519,25,155,30,0,200,85,85,303,104,407,141.25,1705,1550,160
0.604,25,155,30,0,200,85,85,330,103,433,138.79,1978,1798,190
0.3,6,20,5,0,82.5,80,80,100,255,355,49.02,988,988,90
0.3,6,20,5,0,82.5,80,80,100,255,355,50,320,320,90
0.15,5,45,20,0,65,75,75,1,216,216,54.43,428,368,65
0.05,3,6,4,0,70,70,70,1,123,123,52.5,195,195,80
0.03,1,8,2,0,200,88,88,5,35,40,140,102,93,160
0.03,1,8,2,0,200,90,90,5,35,40,140,115,105,190
0.7,16,50,25,800,80,72,74,260,129,389,43.91,2065,1875,80
0.7,16,50,25,800,80,75,75,290,129,419,46.9,2065,1875,70
0.39,15,60,15,0,100,70,70,150,125,275,63,1060,940,65
0.5,7,50,15,0,80,70,70,110,93,203,60.68,645,620,95
0.51,15,100,50,0,160,85,85,180,136,316,156.67,2176,1984,160
0.51,15,100,50,0,190,85,85,230,151,381,138.26,2528,2304,190
0.71,18,150,55,0,120,80,80,360,98,458,35.24,1302,1302,65
0.71,18,150,50,0,70,80,80,378,75,453,38.1,1302,1302,73
0.385,10,65,20,0,70,70,70,156,68,224,68.46,1126,1026,85
0.75,12,75,25,0,72,70,70,162,78,240,66.98,473,430,84
0.557,18,115,15,0,160,85,85,225,82,307,152.22,1302,1184,160
0.557,18,115,15,0,190,85,85,465,82,547,141.53,1092,992,190
0.35,7,75,25,1000,90,70,70,248,8,256,57.5,704,640,90
0.35,7,75,25,1000,90,70,70,258,8,266,53.49,1056,960,90
0.02,2,5,2,0,65,65,65,1,25,25,52.43,71,71,65
0.282,12,30,10,0,70,75,75,365,66,431,57.81,886,770,80
0.073,2,12,3,0,120,85,85,57,37,94,131.58,146,146,160
0.043,2,12,3,0,142.5,85,85,85,37,122,134.12,141,128,190
0.18,7,65,20,680,85,80,80,58,95,153,41.67,447,408,64
0.18,7,65,20,680,85,80,80,48,140,188,52.08,550,500,68
0.193,7,50,10,0,80,70,70,24,90,114,53.33,477,435,92
0.193,9,50,20,0,80,75,75,145,90,235,55.38,996,900,80
0.149,2,5,2,0,200,90,95,1,109,109,127.45,160,160,156
0.049,2,5,2,0,200,100,100,1,136,136,140.5,138,138,187.5
0.179,4,25,0,0,80,80,80,1,102,102,58.33,470,440,60
0.179,4,25,0,0,80,80,80,1,137,137,53.5,413,375,70
0.179,8,25,0,0,60,65,65,1,184,184,52.43,528,480,67
0.179,4,25,0,0,75,70,70,20,201,221,40,443,412,80
0.814,36,190,35,0,160,85,85,500,312,812,136.24,2675,2432,160
0.636,28,205,35,0,190,85,85,456,262,718,125.88,2218,2016,190
0.08,1,8,4,0,90,78,80,1,66,66,50,183,173,56
0.07,60,8,4,0,50,80,80,1,106,106,53.5,186,174,65
0.03,2,12,3,0,100,65,65,10,79,89,50,136,124,55
0.04,2,10,5,0,80,70,70,1,61,61,55.5,145,145,80
0.08,3,15,5,0,160,85,85,1,120,120,137.45,160,160,160
0.08,3,20,5,0,190,90,90,1,165,165,130.5,192,192,190
0.67,18,75,25,500,90,80,80,480,115,595,41.7,1690,1536,64
0.67,18,75,25,500,90,75,75,480,115,595,41.88,2112,1920,78
0.375,14,50,25,450,60,70,70,100,48,148,62,1100,1000,60
0.355,17,50,25,0,80,75,75,288,99,387,56.25,785,697,80
0.07,3,35,15,0,200,85,85,16,142,158,132.5,212,192,160
0.07,3,35,15,0,200,85,85,16,142,158,122.5,282,256,190
0.52,20,75,25,250,62.5,85,85,30,125,155,56.25,1395,1280,64
0.52,10,75,25,250,62.5,75,75,85,125,210,58.82,2093,1920,78
0.536,20,120,30,500,65,70,70,210,134,344,50.48,1100,1030,65
0.536,20,100,20,0,100,70,70,210,133,343,52.38,1300,1200,65
0.427,12,120,25,1000,200,85,85,255,107,362,131.37,1337,1216,160
0.428,12,115,30,0,200,85,90,220,140,360,140.91,1373,1248,190
0.534,20,100,25,0,80,80,80,155,119,274,35.67,1444,1313,50
0.534,20,100,25,0,80,78,78,220,137,357,60.18,1856,1686,70
0.14,3,50,10,0,100,70,70,15,81,96,53.33,425,380,63
0.15,5,30,5,0,70,75,75,27,91,118,50,520,395,80
0.107,5,40,10,0,160,80,80,30,128,158,123.33,247,224,160
0.107,5,40,10,0,190,85,85,34,114,148,118.82,317,288,190
0.171,8,30,5,0,80,80,80,65,107,172,43.28,481,438,70
0.171,8,30,5,0,80,80,80,75,171,246,50.67,687,625,80
0.028,2,10,5,0,80,70,70,1,53,53,52.43,135,121,75
0.143,10,50,50,0,100,70,70,42,219,261,52.86,460,420,65
0.221,5,56,19,0,160,85,85,1,111,111,137.45,528,528,160
0.221,5,56,19,0,160,90,90,1,111,111,130.5,416,416,190
0.7,15,200,50,800,80,80,80,484,76,560,57.28,2062,1875,60
0.7,15,200,50,800,80,75,75,285,306,591,54.74,2062,1875,80
0.457,20,140,30,0,60,70,70,325,77,402,55,861,771,65
0.457,10,125,25,500,100,70,70,210,89,299,52.38,950,890,65
0.7,22,200,150,0,200,85,85,819,278,1097,137.24,2323,2112,160
0.7,24,200,150,0,250,85,85,675,318,993,136.52,2534,2304,142.36
0.5,20,100,50,500,80,80,80,285,110,395,55.05,1408,1280,80
0.5,20,100,50,500,80,78,78,325,110,435,48.62,1549,1408,80
0.357,12,75,25,600,80,70,70,193,126,319,48.2,990,892,80
0.357,12,75,25,0,80,70,70,106,78,184,51.56,831,761,80
1.071,35,200,100,2500,160,81,81,369,265,634,138.75,3450,3136,160
1.071,35,300,100,0,190,85,85,370,315,685,138.38,3872,3520,190
0.35,15,50,10,0,80,80,80,225,80,305,64.76,1046,960,70
0.35,15,50,10,0,80,80,80,250,96,346,57.2,1186,1088,78
0.377,12,100,25,0,100,70,70,72,344,416,54.17,920,830,65
0.5,16,70,10,0,100,70,70,154,263,417,45.06,1000,880,65
0.424,18,130,20,0,250,85,85,138,246,384,135.8,1227,1116,160
0.424,18,130,20,0,250,85,90,98,258,356,138.57,1364,1289,190
0.08,3,7,0,0,100,70,70,1,54,54,55.56,138,128,55
0.08,3,7,0,0,100,70,70,1,48,48,53.5,130,130,65
0.017,2,5,0,0,60,70,65,1,47,47,50.43,80,80,67
0.071,1,6,4,0,80,70,70,1,79,79,55.5,98,98,80
0.129,5,20,10,0,160,85,85,1,144,144,127.45,320,320,160
0.129,5,20,10,0,190,90,95,1,144,144,130.5,256,256,190
0.35,10,75,25,400,60,80,80,295,15,310,41.84,1100,1000,80
0.35,10,75,25,400,60,80,80,340,106,446,40,1238,1125,65
0.351,15,250,50,3000,100,70,70,208,24,232,60.24,1056,960,67
0.351,10,85,15,0,70,70,70,160,48,208,50.63,1041,937,80
0.35,16,100,50,0,190,86,86,134,114,248,132.46,1056,960,160
